Link;Name;Price ($);Mileage (miles);VIN_n
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=636930643&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2015 Nissan Altima 3.5 SL;15,490;99,978;1N4BL3AP3FC483865
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=637606645&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2017 Nissan Altima 3.5 SL;15,000;108,829;1N4BL3AP3HC159091
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=638656592&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2017 Nissan Altima 3.5 SL;17,323;92,148;1N4BL3AP5HC142471
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=634942469&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2013 Nissan Altima 3.5 SL w/ Technology Pkg;10,775;118,849;1N4BL3AP3DC912127
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=639432506&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2016 Nissan Altima 3.5 SL;N/A;98,363;1N4BL3AP7GC117215
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=636696254&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2016 Nissan Altima 3.5 SL;13,997;121,857;1N4BL3AP5GC137057
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=631331806&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2015 Nissan Altima 3.5 SL;13,691;110,857;1N4BL3AP4FC136755
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=630562074&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2016 Nissan Altima 3.5 SL;19,990;55,630;1N4BL3AP2GC217691
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=629252041&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2016 Nissan Altima 3.5 SL;18,625;67,772;1N4BL3AP5GC117049
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=632015977&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2013 Nissan Altima 3.5 SL w/ Technology Pkg;14,000;42,333;1N4BL3AP2DC220361
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=632355488&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2014 Nissan Altima 3.5 SL w/ Technology Package;N/A;114,338;N/A
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=633950407&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=spotlight;Used 2016 Nissan Altima 3.5 SL w/ 3.5 Technology Package;19,685;40,674;1N4BL3APXGC196864
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=638590057&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2016 Nissan Altima 3.5 SL;16,695;90,422;1N4BL3AP4GC160913
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=586972155&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2015 Nissan Altima 3.5 SL;15,299;82,083;1N4BL3AP5FC489196
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=616713700&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2015 Nissan Altima 3.5 SL;14,994;105,612;1N4BL3AP3FC147570
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=638984336&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2017 Nissan Altima 3.5 SL;18,898;60,833;1N4BL3AP3HC128018
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=633502094&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing;Used 2013 Nissan Altima 3.5 SL w/ Technology Pkg;11,500;127,415;1N4BL3AP1DC245087
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=619344084&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=spotlight;Used 2015 Nissan Altima 3.5 SL;15,095;101,037;1N4BL3AP0FC110038
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=629252041&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=spotlight;Used 2016 Nissan Altima 3.5 SL;18,625;67,772;1N4BL3AP5GC117049
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=635809995&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing;Used 2015 Nissan Altima 3.5 SL;18,999;51,274;1N4BL3AP4FC580623
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=632825202&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing;Used 2015 Nissan Altima 3.5 SL;14,980;98,697;1N4BL3AP5FC188363
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=636984170&allListingType=all-cars&makeCodeList=NISSAN&modelCodeList=ALTIMA&city=Rochester&state=NY&zip=14626&location=&searchRadius=0&marketExtension=include&startYear=2013&endYear=2018&trimCodeList=ALTIMA%7C3.5%20SL&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fnissan%2Faltima%2Frochester-ny-14626%3Fdma%3D%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26startYear%3D2013%26endYear%3D2018%26trimCodeList%3DALTIMA%257C3.5%2520SL%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing;Used 2016 Nissan Altima 3.5 SL;18,444;69,704;1N4BL3AP6GC133793
